hmccode,year,cnamehabmen,comp_50_1234,cim_ratio,area,population_habermenaldo,percent_muslim_menaldo,persian_gulf,openk,kc,kg,assassinations,strikes,govtcrises,purges,riots,revolutions,antigovtdemonst,sparty,military,bdm_w,icrg_qog,fullregime_dummy,pcrdbofgdp,monarch_2,region_world_2_2010_b,log_area,yearorth1,yearorth2,yearorth3,logarithmic_growth_imp,log_Reserves_interpolate,agricultural_transition_1950thou,log_population,PCI,TFI,ef,agric_trans_weighbylandqual,assassinations_binary,guerillawarfare_binary,riots_binary,strikes_binary,govtcrises_binary,revolutions_binary,antigovtdemonst_binary,purges_binary,log_conflictindex_normalized,monarch_2_simulated
600,1956,Morocco,63.9995,,446550,1.00E+07,98.7,0,71.2992,94.2567,8.48131,,,,,,,,0,0,0.25,,0,,1,3,13.00931,0.31927427,-0.74680288,-1.0108432,-2.1703,-4.268698,3.45,16.15808,7.618605,-5.527682,0.4787,3.207983,,,,,,,,,,1
600,1957,Morocco,63.9995,,446550,1.10E+07,98.7,0,72.2619,95.0359,9.41435,,,,,,,,0,0,0.25,,0,,1,3,13.00931,0.33700857,-0.72114568,-1.0163053,-2.1943,-4.60517,3.45,16.18557,7.596663,-5.573975,0.4787,3.207983,,,,,,,,,,1
600,1958,Morocco,63.9995,,446550,1.10E+07,98.7,0,69.6343,91.6164,9.63138,,,,,,,,0,0,0.25,,0,,1,3,13.00931,0.35474287,-0.69480204,-1.020154,-2.1993,-4.710531,3.45,16.21331,7.57467,-5.631882,0.4787,3.207983,,,,,,,,,,1
600,1959,Morocco,63.9995,,446550,1.10E+07,98.7,0,61.7249,90.2819,9.3232,,,,,,,,0,0,0.25,,0,,1,3,13.00931,0.37247716,-0.66777197,-1.0223519,-2.2222,-4.767689,3.45,16.24111,7.552448,-5.649897,0.4787,3.207983,,,,,,,,,,1
600,1960,Morocco,63.9995,7.90941,446550,1.20E+07,98.7,0,73.6181,91.3471,10.0618,0,1,2,0,1,0,0,0,0,0.25,,0,,1,3,13.00931,0.39021146,-0.64005547,-1.0228614,-2.2118,-4.767689,3.45,16.26875,7.53033,-5.764646,0.4787,3.207983,0,1,1,1,1,0,0,0,2.180503,1
600,1961,Morocco,63.9995,7.31546,446550,1.20E+07,98.7,0,56.9035,97.3124,8.37229,0,0,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.40794576,-0.61165252,-1.021645,0.9542,-4.656464,3.45,16.29607,7.539872,-5.847662,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1962,Morocco,63.9995,7.13467,446550,1.20E+07,98.7,0,49.5073,94.4832,7.63395,0,0,0,0,1,0,1,0,0,0.25,,0,,1,3,13.00931,0.42568005,-0.58256314,-1.018665,0.9625,-4.656464,3.45,16.32307,7.549497,-5.792243,0.4787,3.207983,0,0,1,0,0,0,1,0,0.515053,1
600,1963,Morocco,63.9995,5.98819,446550,1.30E+07,98.7,0,44.0776,93.872,7.22824,0,0,1,4,0,0,0,0,0,0.5,,0,,1,3,13.00931,0.44341435,-0.55278733,-1.013884,0.9537,-4.199705,3.45,16.35008,7.559034,-5.741809,0.4787,3.207983,0,1,0,0,1,0,0,1,2.258673,1
600,1964,Morocco,63.9995,5.02247,446550,1.30E+07,98.7,0,39.9461,90.2164,6.91944,0,0,0,2,0,0,0,0,0,0.5,,0,,1,3,13.00931,0.46114865,-0.52232508,-1.0072644,0.9548,-4.199705,3.45,16.3773,7.568582,-5.839508,0.4787,3.207983,0,1,0,0,0,0,0,1,1.902043,1
600,1965,Morocco,63.9995,5.73831,446550,1.30E+07,98.7,0,34.5853,87.9508,6.42207,0,0,1,1,1,0,0,0,0,0.25,,0,,1,3,13.00931,0.47888295,-0.4911764,-0.9987687,0.9715,-4.199705,3.45,16.405,7.578297,-5.892953,0.4787,3.207983,0,0,1,0,1,0,0,1,1.134344,1
600,1966,Morocco,63.9995,5.28546,446550,1.40E+07,98.7,0,36.166,91.2352,6.68453,0,0,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.49661724,-0.45934128,-0.98835929,2.9723,-4.233607,3.45,16.43312,7.60802,-5.901811,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1967,Morocco,63.9995,5.59356,446550,1.40E+07,98.7,0,37.7885,90.7366,6.43804,0,1,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.51435154,-0.42681973,-0.97599864,2.9831,-4.382027,3.45,16.46154,7.63785,-5.910794,0.4787,3.207983,0,0,0,1,0,0,0,0,-0.0429724,1
600,1968,Morocco,63.9995,7.02786,446550,1.50E+07,98.7,0,34.719,91.6708,6.3164,0,0,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.53208584,-0.39361174,-0.96164922,2.9697,-4.443902,3.45,16.48987,7.667547,-5.985459,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1969,Morocco,63.9995,7.62294,446550,1.50E+07,98.7,0,35.4311,88.4247,6.0643,0,0,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.54982013,-0.35971731,-0.94527346,2.9415,-4.828314,3.45,16.51741,7.696962,-6.13498,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1970,Morocco,63.9995,6.65386,446550,1.50E+07,98.7,0,38.6237,86.2408,6.47172,0,0,1,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.56755443,-0.32513645,-0.92683383,2.9262,-4.892852,3.45,16.54402,7.726225,-6.034739,0.4787,3.207983,0,0,0,0,1,0,0,0,-0.0429724,1
600,1971,Morocco,63.9995,7.14426,446550,1.60E+07,98.7,0,35.9188,85.2886,6.5632,0,0,0,2,0,1,0,0,0,0.25,,0,,1,3,13.00931,0.58528873,-0.28986916,-0.90629277,2.9443,-6.991137,3.45,16.56955,7.755668,-6.01878,0.4787,3.207983,0,0,0,0,0,1,0,1,2.207385,1
600,1972,Morocco,63.9995,6.93443,446550,1.60E+07,98.7,0,37.0339,86.1507,6.61873,1,0,2,0,0,0,1,0,0,0.25,,0,,1,3,13.00931,0.60302302,-0.25391543,-0.88361274,0.2699,-6.725434,3.45,16.59427,7.758367,-5.9194,0.4787,3.207983,1,0,0,0,1,0,1,0,1.277484,1
600,1973,Morocco,63.9995,6.74498,446550,1.70E+07,98.7,0,41.0404,86.2871,6.43885,0,0,0,1,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.62075732,-0.21727526,-0.8587562,1.5021,-6.907755,3.45,16.61845,7.773388,-5.779961,0.4787,3.207983,0,0,0,0,0,0,0,1,-0.0429724,1
600,1974,Morocco,63.9995,8.55592,446550,1.70E+07,98.7,0,40.5439,87.1654,8.61551,0,0,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.63849162,-0.17994866,-0.83168558,3.2831,-7.195437,3.45,16.64247,7.806219,-5.323974,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1975,Morocco,63.9995,10.0651,446550,1.70E+07,98.7,0,41.8249,82.3378,9.0823,0,0,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.65622591,-0.14193563,-0.80236335,4.4756,-7.706263,3.45,16.66651,7.850975,-5.202572,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1976,Morocco,63.9995,10.4162,446550,1.80E+07,98.7,0,45.1375,78.6923,12.5344,0,0,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.67396021,-0.10323615,-0.77075196,8.4529,-8.421883,3.45,16.69054,7.935503,-5.187871,0.4787,3.207983,0,1,0,0,0,0,0,0,1.56563,1
600,1977,Morocco,63.9995,10.7992,446550,1.80E+07,98.7,0,45.6313,75.8675,11.8445,0,0,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.69169451,-0.06385025,-0.73681386,2.8394,-8.517193,3.45,16.71462,7.963898,-5.16384,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1978,Morocco,63.9995,12.4623,446550,1.90E+07,98.7,0,39.1422,78.8413,11.6235,0,0,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.7094288,-0.02377791,-0.7005115,0.9224,-8.804874,3.45,16.73889,7.973121,-5.158352,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1979,Morocco,63.9995,13.617,446550,1.90E+07,98.7,0,38.3728,79.8606,11.7773,0,0,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.7271631,0.01698087,-0.66180733,2.5336,-8.987196,3.45,16.76378,7.998457,-5.049791,0.4787,3.207983,0,1,0,0,0,0,0,0,1.56563,1
600,1980,Morocco,63.9995,15.5171,446550,2.00E+07,98.7,0,34.8556,76.0158,10.7982,0,0,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.7448974,0.05842608,-0.62066382,6.8399,-9.21034,3.45,16.78935,8.066856,-5.104915,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1981,Morocco,63.9995,16.8313,446550,2.00E+07,98.7,0,37.8665,76.637,11.3166,0,1,0,0,2,0,0,0,0,0.25,,0,,1,3,13.00931,0.76263169,0.10055773,-0.5770434,-4.6285,-9.498021,3.45,16.81568,8.020572,-5.116408,0.4787,3.207983,0,0,1,1,0,0,0,0,1.209045,1
600,1982,Morocco,63.9995,22.4259,446550,2.10E+07,98.7,0,36.2466,75.5306,11.1187,0,0,0,0,1,1,0,0,0,0.25,,0,,1,3,13.00931,0.78036599,0.14337581,-0.53090854,7.4396,-8.04719,3.45,16.8425,8.094968,-5.15873,0.4787,3.207983,0,1,1,0,0,1,0,0,2.576952,1
600,1983,Morocco,63.9995,25.021,446550,2.10E+07,98.7,0,37.2391,76.0921,10.8581,0,0,0,0,0,0,0,0,0,0.25,,0,,1,3,13.00931,0.79810029,0.18688033,-0.48222168,-3.2739,-8.145629,3.45,16.86923,8.062229,-5.218073,0.4787,3.207983,0,1,0,0,0,0,0,0,1.56563,1
600,1984,Morocco,63.9995,26.8377,446550,2.20E+07,98.7,0,37.9188,76.3334,10.6376,0,0,0,0,1,0,0,0,0,0.25,0.423611,0,,1,3,13.00931,0.81583458,0.23107129,-0.43094527,1.4121,-8.421883,3.45,16.89522,8.07635,-5.472169,0.4787,3.207983,0,0,1,0,0,0,0,0,0.1783623,1
600,1985,Morocco,63.9995,29.1697,446550,2.20E+07,98.7,0,38.2516,74.9675,11.1361,0,0,0,0,0,0,0,0,0,0.25,0.472222,0,,1,3,13.00931,0.83356888,0.27594867,-0.37704178,3.4315,-8.294049,3.45,16.92005,8.110665,-5.477304,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1986,Morocco,63.9995,28.3018,446550,2.30E+07,98.7,0,34.9096,76.356,11.0704,0,0,0,0,0,0,0,0,0,0.25,0.472222,0,,1,3,13.00931,0.85130318,0.3215125,-0.32047365,4.9589,-8.294049,3.45,16.94359,8.160254,-5.605647,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1987,Morocco,63.9995,28.8079,446550,2.30E+07,98.7,0,39.3637,76.2865,11.8281,0,0,0,0,0,0,0,0,0,0.25,0.409722,0,,1,3,13.00931,0.86903747,0.36776276,-0.26120334,-4.7902,-8.111728,3.45,16.96598,8.112352,-5.80157,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1988,Morocco,63.9995,29.2465,446550,2.40E+07,98.7,0,41.0379,74.8131,11.5248,,,,,,,0,0,0,0.25,0.444444,0,,1,3,13.00931,0.88677177,0.41469945,-0.19919329,7.2952,-5.914504,3.45,16.98721,8.185305,-5.872375,0.4787,3.207983,,,,,,,0,,,1
600,1989,Morocco,63.9995,30.113,446550,2.40E+07,98.7,0,40.9767,75.2949,11.215,0,0,0,0,0,0,0,0,0,0.25,0.444444,0,,1,3,13.00931,0.90450607,0.46232258,-0.13440596,-0.1217,-5.952244,3.45,17.00743,8.184088,-6.026059,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1990,Morocco,63.9995,21.0301,446550,2.50E+07,98.7,0,44.9293,74.2074,10.704,0,1,0,0,2,0,0,0,0,0.25,0.444444,0,,1,3,13.00931,0.92224036,0.51063215,-0.0668038,1.3994,-5.991465,3.45,17.02668,8.198082,-5.898993,0.4787,3.207983,0,0,1,1,0,0,0,0,1.209045,1
600,1991,Morocco,63.9995,22.6583,446550,2.50E+07,98.7,0,43.8924,76.2129,10.8249,0,0,0,0,0,0,2,0,0,0.25,0.444444,0,,1,3,13.00931,0.93997466,0.55962815,0.00365074,4.4361,-6.214608,3.45,17.04493,8.242443,-6.084245,0.4787,3.207983,0,1,0,0,0,0,1,0,1.747917,1
600,1992,Morocco,63.9995,24.8623,446550,2.60E+07,98.7,0,49.7415,76.7374,11.909,0,0,0,0,0,1,0,0,0,0.25,0.555556,0,,1,3,13.00931,0.95770896,0.60931058,0.07699519,-6.2551,-6.147417,3.45,17.06223,8.179893,-6.143694,0.4787,3.207983,0,1,0,0,0,1,0,0,2.481795,1
600,1993,Morocco,63.9995,26.9923,446550,2.60E+07,98.7,0,50.6465,74.9159,12.6677,0,0,0,0,0,1,0,0,0,0.25,0.587963,0,,1,3,13.00931,0.97544326,0.65967945,0.15326712,-3.1257,-6.435255,3.45,17.07871,8.148636,-6.142194,0.4787,3.207983,0,0,0,0,0,1,0,0,1.971025,1
600,1994,Morocco,63.9995,26.376,446550,2.70E+07,98.7,0,49.0522,75.7847,12.0473,0,0,0,0,0,1,0,0,0,0.25,0.611111,0,,1,3,13.00931,0.99317755,0.71073476,0.23250407,7.8272,-6.84666,3.45,17.09443,8.226908,-6.144176,0.4787,3.207983,0,0,0,0,0,1,0,0,1.971025,1
600,1995,Morocco,63.9995,27.1033,446550,2.70E+07,98.7,0,57.1233,75.9331,13.1518,0,0,0,0,0,0,0,0,0,0.25,0.662037,0,,1,3,13.00931,1.0109118,0.7624765,0.31474358,-8.8377,-6.356172,3.45,17.10953,8.138531,-6.203667,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1996,Morocco,63.9995,27.6497,446550,2.70E+07,98.7,0,49.6961,75.8672,12.0361,0,0,0,0,0,0,0,0,0,0.25,0.666667,0,,1,3,13.00931,1.0286461,0.81490468,0.40002321,9.5528,-6.733802,3.45,17.12408,8.234058,-6.322357,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1997,Morocco,63.9995,27.7623,446550,2.80E+07,98.7,0,54.3653,73.898,12.5703,0,0,0,0,0,0,0,0,0,0.25,0.666667,0,,1,3,13.00931,1.0463804,0.86801929,0.48838049,-4.2719,-6.733802,3.45,17.13813,8.191339,-6.334945,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1998,Morocco,63.9995,26.587,446550,2.80E+07,98.7,0,51.8551,73.6076,12.2998,0,0,0,0,0,0,0,0,0,0.25,0.666667,0,,1,3,13.00931,1.0641147,0.92182034,0.57985299,5.6921,-6.231754,3.45,17.1516,8.24826,-6.470012,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,1999,Morocco,63.9995,25.701,446550,2.90E+07,98.7,0,54.3703,71.9265,12.9106,0,0,0,0,0,0,0,0,0,0.25,0.666667,0,,1,3,13.00931,1.081849,0.97630782,0.67447824,-1.9123,-6.231754,3.45,17.16454,8.229137,-6.584757,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,2000,Morocco,63.9995,26.0537,446550,2.90E+07,98.7,0,58.0571,73.415,12.9846,0,0,0,0,0,0,2,0,0,,0.666667,0,,1,3,13.00931,1.0995833,1.0314817,0.7722938,-0.7646,-6.263798,3.45,17.17682,8.221492,-6.540373,0.4787,3.207983,0,0,0,0,0,0,1,0,-0.0429724,1
600,2001,Morocco,63.9995,25.2387,446550,2.90E+07,98.7,0,,,,0,0,0,0,0,0,0,0,0,,0.666667,0,,1,3,13.00931,1.1173176,1.0873421,0.87333721,4.388,-6.319969,3.45,17.18851,8.265372,-6.040751,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,2002,Morocco,63.9995,23.4408,446550,3.00E+07,98.7,0,,,,0,0,0,0,0,0,0,0,0,,0.666667,0,,1,3,13.00931,1.1350519,1.1438889,0.97764601,1.4589,-6.319969,3.45,17.19973,8.279962,-6.663228,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,2003,Morocco,63.9995,22.612,446550,3.00E+07,98.7,0,,,,0,0,0,0,0,0,0,0,0,,0.62037,0,,1,3,13.00931,1.1527862,1.2011221,1.0852578,4.2617,-6.437752,3.45,17.21072,8.322578,-6.567426,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
600,2004,Morocco,63.9995,21.0698,446550,3.00E+07,98.7,0,,,,0,0,0,0,0,0,0,0,0,,0.611111,0,,1,3,13.00931,1.1705205,1.2590418,1.19621,3.442,-6.437752,3.45,17.22176,8.356998,-6.534224,0.4787,3.207983,0,0,0,0,0,0,0,0,-6.907755,1
